iter	RMSE
457	0.1997257432
458	0.1996582935
459	0.1995864257
460	0.1995020636
461	0.1993795754
462	0.1993018371
463	0.1992538715
464	0.1991723087
465	0.199100341
466	0.1990114568
467	0.198882118
468	0.1988438771
469	0.1987695918
470	0.1986759859
471	0.1985917189
472	0.1984736491
473	0.198409292
474	0.1982834974
475	0.1981981836
476	0.1980887885
477	0.1980172145
478	0.1979036029
479	0.1978129674
480	0.1977263659
481	0.1976299619
482	0.1975677086
483	0.1974622568
484	0.1973658839
485	0.1972679367
486	0.1972049212
487	0.1971245386
488	0.1970655393
489	0.1969694259
490	0.1968607869
491	0.1967423544
492	0.1966535727
493	0.1965696289
494	0.1964717508
495	0.1963496957
496	0.1962568536
497	0.1962108334
498	0.1961079214
499	0.196027991
500	0.1959661485
501	0.1959197533
502	0.1958605298
503	0.1957591598
504	0.1956921645
505	0.195615234
506	0.1955640667
507	0.1954880341
508	0.1954215909
509	0.1953341992
510	0.1952698384
511	0.1951982792
512	0.1951281233
513	0.1950449656
514	0.1949934702
515	0.1949408477
516	0.1948381682
517	0.1947870095
518	0.1947024052
519	0.1946447833
520	0.1945457485
521	0.1944720222
522	0.1943910412
523	0.1943006965
524	0.1942075647
525	0.1941364619
526	0.1940673313
527	0.1940181471
528	0.1939307815
529	0.1938295806
530	0.1937519997
531	0.1936720338
532	0.1936005864
533	0.1935031341
534	0.1934389652
535	0.1933695742
536	0.1933084998
537	0.1932515884
538	0.1931871024
539	0.1931283853
540	0.1930747039
541	0.1929938896
542	0.1929210729
543	0.1928600023
544	0.1927791121
545	0.1926905647
546	0.1926154487
547	0.1925689533
548	0.1924638197
549	0.1923858384
550	0.1923203941
551	0.1922377188
552	0.192190696
553	0.1921104252
554	0.1920559109
555	0.1919784356
556	0.1918559167
557	0.1917843875
558	0.191712908
559	0.1916040501
560	0.1915190555
561	0.191431221
562	0.1913733521
563	0.1913296747
564	0.1912635652
565	0.1912134803
566	0.1911436592
567	0.1910737506
568	0.1909848445
569	0.1908802101
570	0.1908229597
571	0.1907532927
572	0.1906977801
573	0.1906486372
574	0.1905823973
575	0.1905021861
576	0.1904094075
577	0.1903471878
578	0.1902880022
579	0.1902286413
580	0.1901659775
581	0.1901229876
582	0.190045843
583	0.1899537038
584	0.1898624102
585	0.1897772665
586	0.1897332947
587	0.1896812188
588	0.1896095617
589	0.1895366552
590	0.1894707297
591	0.1894177727
592	0.1893330916
593	0.189266474
594	0.1891893083
595	0.1891327268
596	0.1890672305
597	0.1889850379
598	0.1888845877
599	0.1888193674
600	0.1887445672
601	0.1886634164
602	0.1885864663
603	0.1885247369
604	0.188419703
605	0.1883375913
606	0.1882641602
607	0.1881779324
608	0.1880914057
609	0.1880404502
610	0.187969362
611	0.1878994632
612	0.1878324519
613	0.1877692326
614	0.1876887769
615	0.1876303526
616	0.1875907423
617	0.1875502452
618	0.1874926906
619	0.1874515068
620	0.1873646237
621	0.1873072044
622	0.1872380967
623	0.187175604
624	0.187101843
625	0.1870354105
626	0.1869757387
627	0.1869337503
628	0.1868526809
629	0.1867730284
630	0.1867127298
631	0.1866528622
632	0.1865743379
633	0.1865210222
634	0.186459506
635	0.1864129535
636	0.1863387046
637	0.186282103
638	0.1862245831
639	0.1861790399
640	0.1861273281
641	0.1860483177
642	0.185975843
643	0.1859158613
644	0.185857295
645	0.185791239
646	0.1857444661
647	0.1856507626
648	0.1856056529
649	0.1855306534
650	0.1854757036
651	0.1854378869
652	0.185375801
653	0.1852900784
654	0.1852332849
655	0.1851670962
656	0.1850755153
657	0.1850292093
658	0.1849168369
659	0.1848785314
660	0.1848290696
661	0.1847609135
662	0.1847236102
663	0.1846839708
664	0.1846116344
665	0.1845476282
666	0.1845061791
667	0.1844216218
668	0.1843574862
669	0.1843150494
670	0.1842443657
671	0.1841890831
672	0.1841331656
673	0.1840838885
674	0.1840484799
675	0.1839954833
676	0.1839363508
677	0.1838753737
678	0.1838139383
679	0.1837766445
680	0.1837087105
681	0.1836552804
682	0.1835958825
683	0.1835473922
684	0.1835081967
685	0.1834640313
686	0.1834154913
687	0.1833540498
688	0.1832747914
689	0.1832220647
690	0.1831847847
691	0.1831240568
692	0.1830548773
693	0.1830173349
694	0.1829561359
695	0.182901407
696	0.182825244
697	0.1827615944
698	0.1826959375
699	0.1826380544
700	0.1825885111
701	0.1825317633
702	0.1824704037
703	0.1824383771
704	0.1824017604
705	0.1823391555
706	0.1822607622
707	0.1822074956
708	0.1821668569
709	0.1821006639
710	0.1820507511
711	0.182010099
712	0.1819435427
713	0.1818630057
714	0.18182017
715	0.1817469188
716	0.1816920199
717	0.1816389753
718	0.1815640482
719	0.1815203184
720	0.1814685142
721	0.1813989378
722	0.1813495667
723	0.1812685333
724	0.1812104471
725	0.1811464887
726	0.1810969882
727	0.1810093416
728	0.1809613656
729	0.1809017905
730	0.1808519422
731	0.180807575
732	0.1807614187
733	0.1807313599
734	0.1806705472
735	0.1806245166
736	0.1805729152
737	0.1804761913
738	0.1803832823
739	0.1803303865
740	0.180286988
741	0.1802298095
742	0.1801666509
743	0.1801109442
744	0.1800437163
745	0.1799893419
746	0.1798957983
747	0.1798531227
748	0.179812783
749	0.1797478358
750	0.1797163989
751	0.179650614
752	0.1795987172
753	0.1795335354
754	0.1794824506
755	0.179437636
756	0.1793834141
757	0.1793282248
758	0.1792883154
759	0.1792399552
760	0.1791974898
761	0.179141171
762	0.1791006964
763	0.1790247512
764	0.1789743811
765	0.1789090388
766	0.1788720668
767	0.1788182483
768	0.1787823902
769	0.1787310159
770	0.1786665115
771	0.178603368
772	0.1785358908
773	0.1784787788
774	0.1784294221
775	0.1784045673
776	0.1783312758
777	0.1782813545
778	0.1782450401
779	0.1782093846
780	0.178167747
781	0.1781437307
782	0.1780496587
783	0.1780099961
784	0.1779365277
785	0.17786702
786	0.1778064746
787	0.1777445463
788	0.1776952821
789	0.1776466539
790	0.1775885282
791	0.1775484949
792	0.1774466943
793	0.1773863852
794	0.1773343962
795	0.1772731195
796	0.1772161238
797	0.1771785092
798	0.1771316741
799	0.1770808464
800	0.177033877
801	0.176985874
802	0.1769539622
803	0.1768933146
804	0.1768446333
805	0.1767915937
806	0.176727028
807	0.1766765679
808	0.1766089454
809	0.1765606495
810	0.176534857
811	0.1764440895
812	0.1763997657
813	0.1763572599
814	0.1763244681
815	0.1762495022
816	0.1762012716
817	0.1761225474
818	0.1760783586
819	0.1760123012
820	0.1759722806
821	0.1759146988
822	0.1758831614
823	0.1758051963
824	0.1757615848
825	0.1757289978
826	0.1756779457
827	0.1756373947
828	0.17558635
829	0.1755232097
830	0.1754879202
831	0.1754311031
832	0.1753678004
833	0.1753053334
834	0.1752457981
835	0.1751837377
836	0.1751478329
837	0.1750998778
838	0.1750505285
839	0.175023905
840	0.1749642964
841	0.1748913142
842	0.1748458121
843	0.1748052842
844	0.1747377545
845	0.1747006296
846	0.1746541073
847	0.1746115234
848	0.1745722122
849	0.1745223114
850	0.1744824448
851	0.1744474568
852	0.1743929054
853	0.1743473958
854	0.1742710821
855	0.1742194194
856	0.174172177
857	0.1741349621
858	0.1740885729
859	0.1740310052
860	0.1739976916
861	0.1739408279
862	0.173906714
863	0.1738867633
864	0.1738360056
865	0.1737813725
866	0.1737445782
867	0.1736647738
868	0.1736206298
869	0.1735920727
870	0.1735372477
871	0.1734916171
872	0.1734647454
873	0.1734106747
874	0.1733581634
875	0.1733104349
876	0.1732405925
877	0.1732150489
878	0.1731664183
879	0.1731244496
880	0.1730845805
881	0.1730412242
882	0.1730128627
883	0.1729729906
884	0.1729102079
885	0.1728795204
886	0.1728180423
887	0.1727842051
888	0.1727305777
889	0.1726947966
890	0.1726446391
891	0.1725851044
892	0.1725411234
893	0.1724897449
894	0.1724522817
895	0.172420605
896	0.1723938556
897	0.1723545636
898	0.1723248488
899	0.1722565793
900	0.1721970154
901	0.1721449328
902	0.1721109051
903	0.1720564069
904	0.1719983453
905	0.1719640736
906	0.1719123522
907	0.1718561775
908	0.1717968716
909	0.1717284646
910	0.1716857982
911	0.1716496864
912	0.1716126371
913	0.1715661209
914	0.1715283475
915	0.1714611726
916	0.1714227259
917	0.1713903839
918	0.1713488191
919	0.1712984337
920	0.1712616685
921	0.1712326645
922	0.171178897
923	0.1711290649
924	0.1711046462
925	0.1710608045
926	0.1710225334
927	0.1709905937
928	0.170935995
929	0.1708581799
930	0.1708317618
931	0.1707965576
932	0.1707395207
933	0.1707025759
934	0.1706533549
935	0.1706099155
936	0.1705646708
937	0.1704934375
938	0.1704579216
939	0.1704148897
940	0.170359518
941	0.1703134351
942	0.1702732891
943	0.1702254916
944	0.1701925764
945	0.1701528081
946	0.1701006202
947	0.170074206
948	0.1700253105
949	0.1699849435
950	0.1699440393
951	0.1698788355
952	0.1698343504
953	0.1697721342
954	0.1697191519
955	0.1696820005
956	0.1696409002
957	0.1696059581
958	0.1695520728
959	0.1695195369
960	0.169470245
961	0.169430103
962	0.1693540075
963	0.1693174207
964	0.1692722133
965	0.1692364956
966	0.1692077264
967	0.1691588449
968	0.1691295481
969	0.1690682316
970	0.1690412804
971	0.1689962744
972	0.1689617082
973	0.1689215963
974	0.168874727
975	0.1688235666
976	0.1688041511
977	0.1687589948
978	0.1687236029
979	0.1686864509
980	0.1686605733
981	0.1686202874
982	0.1685287974
983	0.1685005108
984	0.1684232155
985	0.1683891639
986	0.1683328226
987	0.1682717367
988	0.1682295438
989	0.1681982115
990	0.1681657593
991	0.1681206719
992	0.1680956935
993	0.1680575047
994	0.1680225058
995	0.1679901202
996	0.1679590394
997	0.167892008
998	0.1678545536
999	0.1677972562
